"survived","pclass","sex","age","sibsp","parch","embarked","fare_per_customer","cabin"
"D",3,0,21,0,0,2,8.05,0
"D",3,0,29.7,0,0,1,14.46,0
"D",3,0,29.7,0,0,2,15.1,0
"D",3,0,24,0,0,2,7.8,0
"D",3,0,17,0,0,2,8.66,0
"D",3,0,28,0,0,2,22.53,0
"D",3,0,29.7,0,0,2,8.05,0
"D",3,0,24,0,0,2,7.5,0
"D",3,0,29.7,0,0,3,24.15,0
"D",3,0,32,0,0,2,7.9,0
"D",3,0,22,0,0,2,7.9,0
"D",3,0,29.7,0,0,1,7.23,0
"D",3,0,29.7,0,0,1,7.23,0
"D",3,0,40.5,0,0,3,7.75,0
"D",3,0,39,0,0,2,7.93,0
"D",2,0,23,2,1,2,2.88,0
"D",3,0,29.7,0,0,1,7.23,0
"D",3,0,17,1,1,1,2.41,0
"D",3,0,29.7,0,0,2,14.5,0
"D",1,0,64,0,0,2,26,0
"D",3,0,33,1,1,2,6.84,0
"D",2,0,27,0,0,2,26,0
"D",3,0,29.7,0,0,3,7.83,0
"D",1,0,62,0,0,2,26.55,0
"D",1,0,29.7,0,0,1,227.53,0
"D",3,0,29.7,0,0,3,7.75,0
"D",3,0,40,0,0,2,7.9,0
"D",2,0,28,0,0,2,13.5,0
"D",3,0,29.7,0,0,2,8.05,0
"D",3,0,24,2,0,2,8.05,0
"D",3,0,19,0,0,2,7.9,0
"D",3,0,29.7,0,0,1,7.23,0
"D",3,0,16,0,0,2,8.05,0
"D",3,0,19,0,0,2,14.5,0
"D",2,0,54,0,0,2,26,0
"D",3,0,29.7,0,0,1,8.71,0
"D",2,0,47,0,0,2,15,0
"D",3,0,22,0,0,2,8.05,0
"D",3,0,29.7,0,0,2,8.05,0
"D",3,0,35,0,0,2,7.13,0
"D",3,0,47,0,0,2,7.25,0
"D",2,0,37,1,0,2,13,0
"D",3,0,36,1,1,2,8.05,0
"D",3,0,49,0,0,2,0,0
"D",3,0,29.7,0,0,1,7.23,0
"D",3,0,29.7,0,0,2,7.9,0
"D",1,0,29.7,0,0,2,42.4,0
"D",3,0,44,0,0,2,8.05,0
"D",3,0,36,1,0,2,7.78,0
"D",3,0,30,0,0,2,7.9,0
"D",3,0,29.7,0,0,2,7.05,0
"D",3,0,29.7,0,0,3,7.75,0
"D",3,0,35,0,0,2,8.05,0
"D",3,0,34,1,1,2,4.8,0
"D",2,0,26,0,0,2,10.5,0
"D",3,0,27,1,0,1,7.23,0
"D",3,0,21,0,0,2,7.85,0
"D",3,0,21,0,0,2,16.1,0
"D",2,0,57,0,0,3,12.35,0
"D",3,0,26,0,0,2,7.9,0
"D",3,0,29.7,0,0,3,7.73,0
"D",3,0,51,0,0,2,7.05,0
"D",1,0,29.7,0,0,2,0,0
"D",3,0,32,0,0,2,7.93,0
"D",2,0,31,1,1,2,8.75,0
"D",3,0,29.7,1,0,2,8.05,0
"D",3,0,20,0,0,2,7.85,0
"D",3,0,19,0,0,2,7.9,0
"D",3,0,29.7,0,0,2,7.55,0
"D",3,0,29.7,0,0,2,7.9,0
"D",3,0,21,0,0,2,8.43,0
"D",2,0,24,2,0,2,24.5,0
"D",3,0,29.7,0,0,2,7.9,0
"D",2,0,23,0,0,2,13,0
"D",3,0,40,0,0,1,7.23,0
"D",3,0,36,0,0,2,7.5,0
"D",2,0,32,2,0,2,24.5,0
"D",2,0,25,0,0,2,13,0
"D",3,0,29.7,0,0,2,7.78,0
"D",3,0,43,0,0,2,8.05,0
"D",2,0,70,0,0,2,10.5,0
"D",2,0,29.7,0,0,2,0,0
"D",3,0,18,0,0,2,7.78,0
"D",3,0,24.5,0,0,2,8.05,0
"D",3,0,20,0,0,2,9.23,0
"D",3,0,14,5,2,2,5.86,0
"D",2,0,60,1,1,2,13,0
"D",2,0,25,1,2,1,10.39,0
"D",3,0,14,4,1,2,6.61,0
"D",3,0,19,0,0,2,10.17,0
"D",3,0,18,0,0,2,7.8,0
"D",3,0,25,0,0,1,7.23,0
"D",1,0,60,0,0,2,26.55,0
"D",2,0,52,0,0,2,13.5,0
"D",3,0,44,0,0,2,8.05,0
"D",3,0,25,0,0,3,7.74,0
"D",3,0,26,1,0,2,3.93,0
"D",2,0,39,0,0,2,26,0
"D",3,0,29,0,0,2,9.48,0
"D",2,0,52,0,0,2,13,0
"D",3,0,29.7,0,0,3,15.5,0
"D",3,0,33,0,0,2,7.78,0
"D",3,0,17,1,0,2,3.53,0
"D",2,0,34,0,0,2,13,0
"D",2,0,50,0,0,2,13,0
"D",3,0,20,0,0,2,8.66,0
"D",2,0,25,1,0,2,13,0
"D",3,0,11,0,0,1,18.79,0
"D",2,0,29.7,0,0,2,0,0
"D",2,0,23,0,0,2,13,0
"D",2,0,23,0,0,2,13,0
"D",3,0,28.5,0,0,2,16.1,0
"D",3,0,29.7,0,0,2,7.9,0
"D",3,0,29.7,0,0,2,7.9,0
"D",3,0,24,1,0,2,8.05,0
"D",3,0,16,1,1,2,6.75,0
"D",3,0,31,0,0,3,7.75,0
"D",3,0,33,0,0,2,9.5,0
"D",3,0,23,0,0,2,7.9,0
"D",3,0,28,0,0,2,7.8,0
"D",2,0,18,0,0,2,11.5,0
"D",3,0,34,0,0,2,8.05,0
"D",3,0,29.7,0,0,2,14.5,0
"D",3,0,41,0,0,2,7.13,0
"D",3,0,16,0,0,2,7.78,0
"D",1,0,29.7,0,0,1,39.6,0
"D",3,0,29.7,1,0,3,12.08,0
"D",3,0,32,0,0,2,8.36,0
"D",3,0,24,0,0,2,9.5,0
"D",3,0,48,0,0,2,7.85,0
"D",3,0,29.7,0,0,1,7.23,0
"D",3,0,18,0,0,2,7.75,0
"D",3,0,29.7,0,0,3,7.74,0
"D",3,0,29.7,1,2,2,5.86,0
"D",3,0,25,0,0,2,7.05,0
"D",3,0,25,0,0,2,7.25,0
"D",3,0,8,4,1,3,4.85,0
"D",3,0,29.7,0,0,3,7.75,0
"D",2,0,16,0,0,2,26,0
"D",1,0,29.7,0,0,1,30.7,0
"D",3,0,25,0,0,2,7.9,0
"D",2,0,39,0,0,2,13,0
"D",3,0,30,0,0,1,7.23,0
"D",2,0,34,0,0,2,13,0
"D",3,0,31,0,0,2,7.78,0
"D",2,0,39,0,0,2,13,0
"D",3,0,26,0,0,2,7.89,0
"D",3,0,39,0,0,2,24.15,0
"D",2,0,35,0,0,2,10.5,0
"D",3,0,30.5,0,0,2,8.05,0
"D",2,0,31,1,1,1,12.33,0
"D",3,0,43,0,0,2,6.45,0
"D",3,0,10,3,2,2,4.65,0
"D",1,0,38,0,0,2,0,0
"D",3,0,2,4,1,2,6.61,0
"D",3,0,29.7,0,0,3,6.95,0
"D",3,0,29.7,0,0,2,56.5,0
"D",3,0,29.7,0,0,1,7.23,0
"D",3,0,23,0,0,2,7.85,0
"D",3,0,18,0,0,2,8.3,0
"D",3,0,21,0,0,2,8.66,0
"D",3,0,29.7,0,0,2,8.05,0
"D",3,0,20,0,0,2,7.93,0
"D",2,0,16,0,0,2,10.5,0
"D",3,0,34.5,0,0,1,6.44,0
"D",3,0,17,0,0,2,8.66,0
"D",3,0,42,0,0,2,7.55,0
"D",3,0,29.7,8,2,2,6.32,0
"D",3,0,35,0,0,1,7.9,0
"D",2,0,28,0,1,2,16.5,0
"D",3,0,4,4,2,2,4.47,0
"D",3,0,74,0,0,2,7.78,0
"D",3,0,29.7,0,0,1,7.23,0
"D",3,0,41,2,0,2,4.7,0
"D",2,0,21,1,0,2,5.75,0
"D",2,0,24,0,0,2,13,0
"D",3,0,29.7,0,0,2,9.5,0
"D",3,0,26,0,0,2,7.9,0
"D",3,0,47,0,0,2,9,0
"D",3,0,20,0,0,2,9.85,0
"D",3,0,19,0,0,2,7.9,0
"D",3,0,29.7,0,0,2,7.9,0
"D",3,0,33,0,0,2,7.9,0
"D",2,0,28,0,0,2,10.5,0
"D",3,0,25,0,0,2,7.05,0
"D",2,0,27,0,0,2,13,0
"D",3,0,32,0,0,3,7.75,0
"S",1,1,48,1,0,1,19.8,1
"S",1,0,49,1,0,1,28.46,1
"S",1,0,80,0,0,2,30,1
"S",1,0,56,0,0,1,35.5,1
"S",1,0,40,0,0,1,31,1
"S",1,0,4,0,2,2,27.29,1
"S",1,0,28,0,0,2,35.5,1
"S",1,0,35,0,0,1,512.33,1
"S",1,1,16,0,1,1,28.99,1
"S",1,1,44,0,1,1,28.99,1
"S",1,1,17,1,0,2,28.5,1
"S",1,0,31,1,0,2,28.5,1
"S",1,1,36,0,2,2,23.67,1
"S",1,1,38,0,0,0,80,1
"S",1,1,62,0,0,0,80,1
"S",1,1,43,0,1,2,105.67,1
"S",1,1,24,0,0,1,69.3,1
"S",1,1,24,0,0,1,69.3,1
"S",1,1,22,0,2,1,16.5,1
"S",1,1,44,0,0,1,27.72,1
"S",1,0,60,1,1,1,26.4,1
"S",1,1,19,0,0,2,30,1
"S",1,1,19,1,0,1,45.54,1
"S",1,0,25,1,0,1,45.54,1
"S",1,1,15,0,1,2,105.67,1
"S",1,1,29,0,0,2,211.34,1
"S",1,0,32,0,0,1,30.5,1
"S",1,1,52,1,1,2,31.17,1
"S",1,1,30,0,0,2,93.5,1
"S",1,1,30,0,0,2,86.5,1
"S",1,1,33,0,0,2,86.5,1
"S",1,1,29.7,1,0,1,73.26,1
"S",1,1,16,0,0,2,86.5,1
"S",1,1,58,0,0,1,146.52,1
"S",1,1,53,2,0,2,17.16,1
"S",1,1,58,0,0,2,26.55,1
"S",1,0,52,0,0,2,30.5,1
"S",1,0,29.7,0,0,2,30.5,1
"S",1,1,35,1,0,2,26.55,1
"S",1,1,58,0,1,2,76.73,1
"S",1,1,40,0,0,2,153.46,1
"S",1,1,29.7,1,0,2,26,1
"S",1,0,48,1,0,2,26,1
"S",1,0,26,0,0,1,30,1
"S",1,1,22,1,0,2,33.3,1
"S",1,1,36,0,0,1,135.63,1
"S",1,1,38,0,0,1,227.53,1
"S",1,0,29.7,0,0,1,29.7,1
"S",1,1,56,0,1,1,41.58,1
"S",1,0,29.7,0,0,2,35.5,1
"S",1,0,28,0,0,2,26.55,1
"S",1,1,24,0,0,1,83.16,1
"S",1,1,17,1,0,1,54.45,1
"S",1,1,39,1,1,1,36.96,1
"S",1,1,31,0,2,2,54.96,1
"S",1,0,17,0,2,1,36.96,1
"S",1,1,33,1,0,3,45,1
"S",1,1,35,1,0,2,41.74,1
"S",1,1,38,1,0,1,35.64,1
"S",1,1,24,0,0,1,49.5,1
"S",1,1,29.7,1,0,1,44.55,1
"S",1,0,49,1,0,1,44.55,1
"S",1,1,35,1,0,2,45,1
"S",1,0,38,1,0,2,45,1
"S",1,1,35,0,0,2,135.63,1
"S",2,1,36,0,0,2,13,1
"S",2,1,23,0,0,1,13.79,1
"S",1,1,51,1,0,2,38.98,1
"S",1,1,32,0,0,1,76.29,1
"S",1,1,49,0,0,2,25.93,1
"S",1,1,48,0,0,2,25.93,1
"S",1,0,42,1,0,2,26.28,1
"S",1,1,54,1,0,1,39.13,1
"S",1,1,52,1,0,1,39.13,1
"S",1,1,29.7,1,0,2,25.93,1
"S",1,1,16,0,1,2,19.7,1
"S",1,1,49,1,0,1,38.36,1
"S",1,0,48,1,0,1,38.36,1
"S",1,1,47,1,1,2,17.52,1
"S",1,0,37,1,1,2,17.52,1
"S",1,1,31,1,0,1,56.64,1
"S",1,1,23,1,0,1,56.64,1
"S",1,1,60,1,0,1,37.63,1
"S",1,0,29.7,0,0,2,30,1
"S",1,1,19,0,2,2,8.76,1
"S",1,0,27,0,0,1,76.73,1
"S",2,0,34,0,0,2,13,1
"S",1,1,63,1,0,2,38.98,1
"S",1,1,21,0,0,2,77.96,1
"S",3,0,32,0,0,2,8.05,1
"S",2,1,32.5,0,0,2,13,1
"S",2,1,29.7,0,0,3,12.35,1
"S",2,1,27,0,0,2,10.5,1
"S",1,0,48,0,0,2,26.55,1
"S",3,1,27,0,1,2,6.24,1
"S",3,0,6,0,1,2,6.24,1
"S",1,0,51,0,0,2,26.55,1
"S",1,0,35,0,0,2,26.29,1
"S",1,0,42,0,0,2,26.29,1
"S",1,0,36,0,0,2,26.29,1
"S",1,0,36,0,0,2,26.39,1
"S",1,1,29.7,0,1,2,27.5,1
"S",1,1,22,0,1,2,27.5,1
"S",1,1,40,1,1,1,44.83,1
"S",1,1,30,0,0,1,56.93,1
"S",1,1,41,0,0,1,134.5,1
"S",1,1,39,1,0,2,27.95,1
"S",1,1,39,1,1,1,27.72,1
"S",1,0,25,1,0,1,27.72,1
"S",1,1,39,1,1,2,26.55,1
"S",1,1,18,0,2,2,26.55,1
"S",1,1,33,1,0,2,26.55,1
"S",1,0,27,1,0,2,26.55,1
"S",2,0,3,1,1,2,8.67,1
"S",2,0,2,1,1,2,8.67,1
"S",2,1,29,0,0,2,10.5,1
"S",2,1,24,0,0,2,13,1
